Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Number of Fatalities,Bus Involvement,Heavy Rigid Truck Involvement, Articulated Truck Involvement,Speed Limit, National Remoteness Areas,SA4 Name 2021,National LGA NAme 2021,National Road Type,Christmas Period,Easter Period,Day of week, Time of Day
20233071,QLD,8,2023,Saturday,2:00,Single,1,No,No,No,70,Inner Regional Australia,Wide Bay,Bundaberg,Sub-arterial Road,No,No,Weekend,Night
20231172,NSW,8,2023,Saturday,20:02,Single,1,No,No,No,100,Outer Regional Australia,Central West,Forbes,Sub-arterial Road,No,No,Weekend,Night
20233073,QLD,8,2023,Friday,3:00,Single,1,No,No,No,100,Inner Regional Australia,Wide Bay,Fraser Coast,Access road,No,No,Weekday,Night
20235095,WA,8,2023,Thursday,21:22,Single,1,No,No,No,100,,,,,No,No,Weekday,Night
20235025,WA,8,2023,Tuesday,19:38,Single,1,No,No,No,70,,,,,No,No,Weekday,Night
20232015,VIC,8,2023,Saturday,16:09,Multiple,1,-9,-9,-9,-9,,,,,No,No,Weekend,Day
20232131,VIC,8,2023,Sunday,16:30,Multiple,1,-9,-9,-9,-9,,,,,No,No,Weekend,Day
20235005,WA,8,2023,Saturday,9:00,Single,1,No,No,No,50,,,,,No,No,Weekend,Day
20235031,WA,8,2023,Sunday,7:00,Single,1,No,No,No,110,,,,,No,No,Weekend,Day
20235088,WA,8,2023,Sunday,9:05,Single,1,No,No,No,90,,,,,No,No,Weekend,Day
20231009,NSW,8,2023,Friday,22:50,Multiple,1,No,No,No,60,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hornsby,Local Road,No,No,Weekend,Night
20232036,VIC,8,2023,Wednesday,18:15,Multiple,1,-9,-9,-9,-9,,,,,No,No,Weekday,Night
20231122,NSW,8,2023,Saturday,17:57,Multiple,1,No,No,No,60,Major Cities of Australia,Sydney - Outer South West,Campbelltown,Local Road,No,No,Weekend,Day
20231084,NSW,8,2023,Sunday,17:05,Multiple,1,No,No,Yes,110,Outer Regional Australia,Riverina,Cootamundra-Gundagai,National or State Highway,No,No,Weekend,Day
20232068,VIC,8,2023,Sunday,18:54,Multiple,1,-9,-9,-9,50,Major Cities of Australia,Melbourne - West,Brimbank,Local Road,No,No,Weekend,Night
20232027,VIC,8,2023,Sunday,23:18,Single,1,-9,-9,-9,80,Inner Regional Australia,Latrobe - Gippsland,Baw Baw,Sub-arterial Road,No,No,Weekend,Night
20231029,NSW,8,2023,Friday,23:45,Multiple,1,No,Yes,No,50,Major Cities of Australia,Sydney - Outer South West,Campbelltown,Local Road,No,No,Weekend,Night
20233063,QLD,8,2023,Sunday,4:00,Single,1,No,No,No,100,Outer Regional Australia,Queensland - Outback,Mareeba,Local Road,No,No,Weekend,Night
20233027,QLD,8,2023,Saturday,11:00,Multiple,1,No,No,No,100,Inner Regional Australia,Logan - Beaudesert,Scenic Rim,National or State Highway,No,No,Weekend,Day
20233081,QLD,8,2023,Saturday,10:00,Multiple,1,No,No,No,50,Major Cities of Australia,Brisbane - West,Brisbane,Collector Road,No,No,Weekend,Day
20231205,NSW,8,2023,Sunday,13:50,Single,1,No,No,No,80,Inner Regional Australia,Illawarra,Kiama,National or State Highway,No,No,Weekend,Day
20234028,SA,8,2023,Sunday,11:50,Single,1,No,No,No,110,Outer Regional Australia,South Australia - South East,Naracoorte Lucindale,Sub-arterial Road,No,No,Weekend,Day
20234013,SA,8,2023,Sunday,13:00,Single,1,No,No,No,110,Outer Regional Australia,South Australia - South East,Wattle Range,Collector Road,No,No,Weekend,Day
20232041,VIC,8,2023,Friday,17:17,Multiple,1,-9,-9,-9,110,Inner Regional Australia,Latrobe - Gippsland,Latrobe (VIC.),National or State Highway,No,No,Weekday,Day
20235024,WA,8,2023,Thursday,10:23,Single,1,No,No,No,110,,,,,No,No,Weekday,Day
20233076,QLD,8,2023,Monday,12:00,Single,1,No,No,No,50,,,,,No,No,Weekday,Day
20233093,QLD,8,2023,Wednesday,6:00,Single,1,No,No,No,100,Outer Regional Australia,Wide Bay,North Burnett,National or State Highway,No,No,Weekday,Day
20236013,TAS,8,2023,Saturday,23:00,Single,1,No,No,No,100,Outer Regional Australia,West and North West,Circular Head,Sub-arterial Road,No,No,Weekend,Night
20231007,NSW,8,2023,Wednesday,14:45,Multiple,1,No,No,No,100,Outer Regional Australia,New England and North West,Liverpool Plains,Local Road,No,No,Weekday,Day
20231190,NSW,8,2023,Monday,6:20,Multiple,1,No,Yes,No,80,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,National or State Highway,No,No,Weekday,Day
20233021,QLD,8,2023,Friday,11:00,Multiple,1,No,No,No,60,Inner Regional Australia,Toowoomba,Toowoomba,National or State Highway,No,No,Weekday,Day
20233111,QLD,8,2023,Friday,12:00,Single,1,No,No,No,-9,Inner Regional Australia,Sunshine Coast,Sunshine Coast,Local Road,No,No,Weekday,Day
20231081,NSW,8,2023,Friday,7:55,Multiple,1,No,No,Yes,110,Outer Regional Australia,Riverina,Wagga Wagga,National or State Highway,No,No,Weekday,Day
20233064,QLD,8,2023,Wednesday,10:00,Multiple,1,No,Yes,No,70,Major Cities of Australia,Gold Coast,Gold Coast,Sub-arterial Road,No,No,Weekday,Day
20237008,NT,8,2023,Thursday,18:57,Multiple,1,No,No,No,80,,,,,No,No,Weekday,Night
20233142,QLD,8,2023,Tuesday,11:00,Multiple,1,No,No,No,100,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,Collector Road,No,No,Weekday,Day
